	trees_s1.0_r1_scale0.1_rep4.variants.tsv
summarized	[('Other', 0.9999999999996904)]
lineages	L auto.L.1.2.2
abundances	0.92428872 0.07571128
resid	2.6690008559096094e-12
coverage	100.0
